state,population,deaths,deathRate,estOwnRate,licenses,concealCarry,openCarryHG,openCarryLG
AL,5024279,1315,26.4,55.5,194920,0,0,0
AK,733391,182,25.2,64.5,28237,0,0,0
AZ,7151502,1365,18.3,46.3,258691,0,0,0
AR,3011524,698,23.3,57.2,133981,0,0,0
CA,39538223,3576,9,28.3,406360,1,2,2
CO,5773714,1064,17.8,45.1,149382,1,0,0
CT,3605944,248,6.7,23.6,74874,1,2,2
DE,989948,158,16.6,34.4,6092,1,0,0
FL,21538187,3142,14.1,35.3,518725,0,2,2
GA,10711908,2200,20.3,49.2,304124,0,0,0
HI,1455271,71,4.8,14.9,9280,1,1,2
ID,1839106,309,16.3,60.1,76425,1,0,0
IL,12812508,1995,16.1,27.8,144749,0,2,2
IN,6785528,1251,18.4,44.8,157546,1,0,0
IA,3190369,364,11.2,43.6,54178,1,0,0
KS,2937880,503,17.3,48.9,69850,1,0,0
KY,4505836,947,21.1,54.6,108833,1,0,0
LA,4657757,1314,29.1,53.1,152061,0,0,0
ME,1362359,178,12.6,46.8,21396,1,0,0
MD,6177224,915,15.2,30.2,136257,0,1,0
MA,7029917,247,3.4,14.7,45138,0,1,1
MI,10077331,1544,15.4,40.2,109835,0,0,0
MN,5706494,573,10,42.8,129825,0,1,1
MS,2961279,962,33.9,55.8,80712,1,0,0
MO,6154913,1414,23.2,48.8,113351,1,0,0
MT,1084225,280,25.1,66.3,36678,1,0,0
NE,1961504,200,10.3,45.2,43261,1,0,0
NV,3104614,633,19.8,47.3,119007,0,0,0
NH,1377529,123,8.3,41.1,72433,1,0,0
NJ,9288994,475,5.2,14.7,102228,0,1,1
NM,2117522,578,27.8,46.2,122968,0,0,0
NY,20201249,1078,5.4,19.9,92191,0,2,0
NC,10439388,1839,17.3,45.8,222166,0,0,0
ND,779094,128,16.8,55.1,30975,1,0,0
OH,11799448,1911,16.5,40,208661,1,0,0
OK,3959353,836,21.2,54.7,103368,1,0,0
OR,4237256,670,14.9,50.8,97474,0,0,0
PA,13002700,1905,14.8,40.7,348167,0,0,0
RI,1097379,64,5.6,14.8,4887,0,1,0
SC,5118425,1136,22.4,49.4,119205,0,0,0
SD,886667,128,14.3,55.3,64666,1,0,0
TN,6910840,1569,22.8,51.6,151536,1,0,2
TX,29145505,4613,15.6,45.7,1006555,1,0,0
UT,3271616,450,13.9,46.8,118408,1,0,0
VT,643077,83,11.9,50.5,9451,1,0,0
VA,8631393,1248,14.3,44.6,423707,0,0,0
WA,7705281,896,11.2,42.1,165534,0,0,0
WV,1793716,319,17.3,58.5,50963,1,0,0
WI,5893718,793,13.5,45.3,95430,0,0,0
WY,576851,155,26.1,66.2,95430,1,0,0
